charge_mass,offset,pso_spherical,pr_spherical,is_spherical,ir_spherical,u_spherical,ta_spherical,td_spherical,pso_hemispherical,pr_hemispherical,is_hemispherical,ir_hemispherical,u_hemispherical,ta_hemispherical,td_hemispherical
7.949814379,7.020173558,59.41684386,146.787046,111.5197219,245.2489014,416.8595061,10.37971074,5.798346408,83.42633392,220.003418,161.02812,372.4593838,445.0511908,9.312967514,6.348468822
37.93799585,1.810686207,3378.790914,25578.8816,489.7489958,4383.966907,1828.650459,0.587738912,1.259013525,4322.928037,34165.5453,560.2993143,7123.577998,2054.818203,0.542980819,1.049828837
5.925134957,6.406270411,58.6755528,144.6051318,100.5296741,220.7515545,415.9867745,9.511005527,5.272168968,82.35554995,216.5384953,145.1776807,335.2022444,443.8634085,8.536883239,5.779538478
20.15093964,0.927761785,7427.214189,66340.01834,385.3191486,7042.641106,2648.348824,0.226397415,0.536099823,8562.458297,78212.42007,524.5618908,11689.07006,2831.504309,0.216133101,0.607492351
47.75715643,2.096421276,2955.983958,21681.64539,549.0741787,4283.535904,1717.409714,0.715549689,1.619416664,3850.953659,29709.20271,612.9336807,6938.693045,1947.275345,0.656929352,1.277944903
35.87887901,4.403196631,486.697041,2133.160485,443.9597916,1273.828017,767.6408577,3.018274946,5.679559774,718.7462764,3584.53872,648.8695051,1993.750605,900.5831322,2.624841689,7.314144219
11.46632558,3.710860395,302.0988156,1142.715646,248.6371488,672.4103962,640.7659963,3.055663434,3.799778845,444.842729,1909.408464,365.6929493,1044.5674,739.3574506,2.655102861,4.702005797
88.68083495,9.42058845,172.3981154,552.3445755,391.0588888,985.1799593,533.4308647,9.57932809,8.709149252,250.3944119,896.462503,569.2492513,1517.820417,599.9082658,8.372139155,9.260499739
40.45883137,1.397708949,5577.166643,47073.54201,469.1240026,6769.771347,2314.047987,0.377425654,0.798629752,6655.465406,57531.15341,596.3697189,11142.58113,2512.346938,0.356633372,0.808581255
95.58750814,9.559657499,176.3892239,568.821783,404.6957352,1022.562562,537.0675797,9.638738354,8.823906429,256.3685218,924.6073073,589.392011,1575.930367,604.6731169,8.420977747,9.465884547
93.38597995,0.549396622,25919.94669,300075.3677,2393.179235,68788.5809,4866.557677,0.090298876,4.536914137,31471.90928,372082.0438,4305.128206,120137.235,5323.567229,0.087936793,4.536914137
92.83565396,2.097124931,4461.75009,35943.17334,626.119328,7366.778407,2083.731489,0.614067246,1.262816432,5490.409554,45587.29116,757.5678994,12053.06864,2296.270223,0.574673409,1.171211302
13.75356966,1.687996746,1986.849131,13178.77888,420.6625973,2142.920347,1426.097366,0.670293454,2.048083893,2716.159913,19414.78086,440.7967821,3441.234306,1654.323561,0.604553401,1.335941098
70.35245746,7.227392556,262.5293,951.6106551,429.6023059,1141.790616,610.0903679,6.277643959,7.065631517,385.5546952,1581.495814,630.7423441,1769.970624,699.7604816,5.459115877,8.466505646
20.28126603,1.806203959,2254.664766,15457.90133,454.3105898,2657.060095,1512.763832,0.683304478,1.863278662,3038.635803,22274.6482,484.9526049,4278.285026,1743.525162,0.619648091,1.293606238
28.9899084,3.844612813,563.8422804,2586.698536,439.8081687,1287.008426,814.805461,2.489278581,5.421297019,831.4367025,4334.012293,637.5231826,2019.24783,959.3389005,2.16791355,6.766219142
34.01197678,7.628113258,135.9746583,407.947572,258.0020139,630.1667224,498.950571,8.461736437,7.214761654,196.0135723,651.0810187,373.7962892,967.6214179,554.5866317,7.427799074,7.08989558
62.50917619,1.210494669,8781.518351,81000.7043,592.797185,12233.96352,2867.127872,0.278867039,0.737823816,9970.587138,94320.27864,841.7191559,20413.81036,3048.017303,0.267383591,0.882764151
20.1712268,3.574753746,505.3210556,2240.760796,372.2449578,1073.302995,779.288711,2.415024635,4.715830464,746.0569556,3763.401393,543.1104398,1680.923053,915.1568946,2.100882356,6.036495788
68.31498498,8.111817502,198.1161567,660.6165927,379.2790118,972.7954225,556.4287324,7.833133755,7.495416098,288.9234748,1081.742192,553.7827157,1501.74637,629.9935643,6.83187487,8.367346444
57.77653319,7.936152711,183.694904,599.2980054,347.8488417,883.5481775,543.6584166,7.882241345,7.315192381,267.3095263,976.7185395,507.0504965,1362.481514,613.3013757,6.882099346,7.965483483
76.93998855,4.40190527,865.8885949,4530.628554,722.3674671,2273.551247,977.8011443,2.41203536,7.71183482,1261.161727,7419.63627,993.486553,3593.390507,1156.844323,2.11637561,7.975728332
37.99678022,7.461425468,154.6458366,480.582449,282.1001828,700.7091101,516.9285281,7.897063953,6.984558707,223.8537787,774.1856656,409.7077944,1077.88333,578.2509705,6.914827557,7.113236123
12.27914542,0.748631011,8009.545914,72588.74414,333.5200224,6449.843821,2744.624591,0.177977994,0.44105759,9165.244721,85025.88045,462.6721436,10730.42408,2925.874789,0.170272249,0.513094081
80.26159436,8.762918874,188.0182201,617.5212737,391.8072486,998.1938445,547.5195372,8.628450411,8.077679956,273.7870532,1007.908426,571.4192233,1539.788074,618.3518589,7.53104074,8.867027337
70.57409376,5.407970447,509.3579361,2264.247209,567.0017532,1636.563075,781.7905501,3.642260167,7.168566818,751.967996,3802.355684,826.9334177,2563.389897,918.2818379,3.168706209,9.162686912
82.12071925,6.281745081,406.1347194,1682.849875,542.2120323,1520.631073,715.0668681,4.617700481,7.322695857,599.8753103,2829.027849,796.7536537,2373.141777,834.3072495,4.011786242,9.502692449
35.14752644,2.917356992,1206.871328,6967.911496,617.1210684,2133.252585,1133.787687,1.404789413,5.426043868,1725.011246,11040.85589,725.1663866,3392.130395,1337.400088,1.24383119,3.812644446
85.85339075,9.852322262,152.5436284,472.254876,368.1228441,912.7496326,514.9374239,10.48002519,9.238162922,220.7149356,760.0335283,534.4957053,1403.788678,575.6338183,9.178830369,9.361271244
1.88756603,1.923884852,342.8003392,1347.920934,143.6087846,394.445242,670.8283091,1.509462017,2.070513131,505.669176,2260.277056,211.3346926,613.9498371,777.9450379,1.311162394,2.630271044
