W,L/D,theta,R,iso
3.63,2,135,2.13,149.13
3.63,2,135,3.35,127.62
3.63,2,135,4.88,91.49
3.63,2,135,6.4,74.6
3.63,2,135,7.92,61.57
3.63,2,135,9.45,55.5
3.63,2,180,2.13,190.16
3.63,2,180,3.35,93.77
3.63,2,180,4.88,88.32
3.63,2,180,6.4,76.46
3.63,2,180,7.92,63.78
3.63,2,180,9.45,58.54
3.63,3,0,2.13,144.38
3.63,3,0,3.35,118.93
3.63,3,0,4.88,78.32
3.63,3,0,6.4,73.5
3.63,3,0,7.92,65.91
3.63,3,0,9.45,55.99
3.63,3,45,2.13,157.68
3.63,3,45,3.35,141.14
3.63,3,45,4.88,110.66
3.63,3,45,6.4,80.6
3.63,3,45,7.92,66.47
3.63,3,45,9.45,55.09
3.63,3,90,2.13,186.99
3.63,3,90,3.35,120.24
3.63,3,90,4.88,90.46
3.63,3,90,6.4,67.71
3.63,3,90,7.92,53.43
3.63,3,90,9.45,44.61
3.63,3,90,2.13,234.7
3.63,3,90,3.35,123.55
3.63,3,90,4.88,82.6
3.63,3,90,6.4,64.33
3.63,3,90,7.92,51.5
3.63,3,90,9.45,46.88
3.63,3,90,2.13,397.76
3.63,3,90,3.35,120.59
3.63,3,90,4.88,85.15
3.63,3,90,6.4,71.57
3.63,3,90,7.92,57.5
3.63,3,90,9.45,49.37
3.63,3,135,2.13,144.51
3.63,3,135,3.35,115.76
3.63,3,135,4.88,89.08
3.63,3,135,6.4,72.81
3.63,3,135,7.92,60.74
3.63,3,135,9.45,52.88
3.63,3,180,2.13,139.48
3.63,3,180,3.35,85.22
3.63,3,180,4.88,88.8
3.63,3,180,6.4,77.57
3.63,3,180,7.92,65.22
3.63,3,180,9.45,59.29
3.63,3,180,2.13,132.24
3.63,3,180,3.35,115.49
3.63,3,180,4.88,99.7
3.63,3,180,6.4,80.53
3.63,3,180,7.92,70.12
3.63,3,180,9.45,51.37
3.63,4,0,2.13,169.82
3.63,4,0,3.35,92.11
3.63,4,0,4.88,103.42
3.63,4,0,6.4,77.43
3.63,4,0,7.92,70.33
3.63,4,0,9.45,58.12
3.63,4,0,2.13,205.6
3.63,4,0,3.35,118.73
3.63,4,0,4.88,89.77
3.63,4,0,6.4,75.7
3.63,4,0,7.92,73.15
3.63,4,0,9.45,60.95
3.63,4,22.5,2.13,94.6
3.63,4,22.5,3.35,101.49
3.63,4,22.5,4.88,91.29
3.63,4,22.5,6.4,56.05
3.63,4,22.5,7.92,66.47
3.63,4,22.5,9.45,53.92
3.63,4,22.5,2.13,108.11
3.63,4,22.5,3.35,106.18
3.63,4,22.5,4.88,86.12
3.63,4,22.5,6.4,71.5
3.63,4,22.5,7.92,66.47
3.63,4,22.5,9.45,59.43
3.63,4,22.5,2.13,97.97
3.63,4,22.5,3.35,110.87
3.63,4,22.5,4.88,93.91
3.63,4,22.5,6.4,81.15
3.63,4,22.5,7.92,72.6
3.63,4,22.5,9.45,58.33
3.63,4,45,2.13,153.48
3.63,4,45,3.35,130.52
3.63,4,45,4.88,114.59
3.63,4,45,6.4,85.01
3.63,4,45,7.92,62.67
3.63,4,45,9.45,55.99
3.63,4,45,2.13,148.72
3.63,4,45,3.35,130.72
3.63,4,45,4.88,104.59
3.63,4,45,6.4,79.57
3.63,4,45,7.92,65.84
3.63,4,45,9.45,58.26
3.63,4,67.5,2.13,160.79
3.63,4,67.5,3.35,131.9
3.63,4,67.5,4.88,96.39
3.63,4,67.5,6.4,68.95
3.63,4,67.5,7.92,59.29
3.63,4,67.5,9.45,49.44
3.63,4,67.5,2.13,165.96
3.63,4,67.5,3.35,129.76
3.63,4,67.5,4.88,93.15
3.63,4,67.5,6.4,74.88
3.63,4,67.5,7.92,59.43
3.63,4,67.5,9.45,53.16
3.63,4,90,2.13,291.44
3.63,4,90,3.35,114.38
3.63,4,90,4.88,93.77
3.63,4,90,6.4,67.02
3.63,4,90,7.92,50.68
3.63,4,90,9.45,44.13
3.63,4,90,2.13,283.1
3.63,4,90,3.35,123.62
3.63,4,90,4.88,87.84
3.63,4,90,6.4,67.43
3.63,4,90,7.92,53.43
3.63,4,90,9.45,47.85
3.63,4,90,2.13,225.46
3.63,4,90,3.35,123
3.63,4,90,4.88,92.11
3.63,4,90,6.4,61.57
3.63,4,90,7.92,53.71
3.63,4,90,9.45,50.4
3.63,4,90,2.13,259.31
3.63,4,90,3.35,123
3.63,4,90,4.88,90.39
3.63,4,90,6.4,66.74
3.63,4,90,7.92,53.02
3.63,4,90,9.45,45.44
3.63,4,90,2.13,255.45
3.63,4,90,3.35,131.83
3.63,4,90,4.88,93.08
3.63,4,90,6.4,70.74
3.63,4,90,7.92,53.5
3.63,4,90,9.45,44.61
3.63,4,112.5,2.13,146.44
3.63,4,112.5,3.35,116.38
3.63,4,112.5,4.88,94.87
3.63,4,112.5,6.4,70.26
3.63,4,112.5,7.92,56.47
3.63,4,112.5,9.45,51.5
3.63,4,112.5,2.13,139.34
3.63,4,112.5,3.35,118.93
3.63,4,112.5,4.88,94.46
3.63,4,112.5,6.4,67.91
3.63,4,112.5,7.92,57.43
3.63,4,112.5,9.45,49.23
3.63,4,112.5,2.13,143.07
3.63,4,112.5,3.35,116.8
3.63,4,112.5,4.88,95.29
3.63,4,112.5,6.4,73.15
3.63,4,112.5,7.92,59.09
3.63,4,112.5,9.45,48.95
3.63,4,135,2.13,142.45
3.63,4,135,3.35,118.8
3.63,4,135,4.88,90.25
3.63,4,135,6.4,71.98
3.63,4,135,7.92,60.67
3.63,4,135,9.45,52.47
3.63,4,135,2.13,136.24
3.63,4,135,3.35,122.73
3.63,4,135,4.88,95.01
3.63,4,135,6.4,61.36
3.63,4,135,7.92,63.71
3.63,4,135,9.45,52.54
3.63,4,157.5,2.13,105.49
3.63,4,157.5,3.35,118.87
3.63,4,157.5,4.88,90.32
3.63,4,157.5,6.4,75.64
3.63,4,157.5,7.92,66.12
3.63,4,157.5,9.45,60.4
3.63,4,157.5,2.13,94.87
3.63,4,157.5,3.35,117.83
3.63,4,157.5,4.88,96.18
3.63,4,157.5,6.4,70.74
3.63,4,157.5,7.92,69.57
3.63,4,157.5,9.45,57.64
3.63,4,180,2.13,124.93
3.63,4,180,3.35,125.35
3.63,4,180,4.88,95.77
3.63,4,180,6.4,82.6
3.63,4,180,7.92,71.36
3.63,4,180,9.45,64.81
3.63,4,180,2.13,108.11
3.63,4,180,3.35,115.28
3.63,4,180,4.88,97.56
3.63,4,180,6.4,67.02
3.63,4,180,7.92,74.19
3.63,4,180,9.45,58.4
3.63,4,180,2.13,124.59
3.63,4,180,3.35,123
3.63,4,180,4.88,110.32
3.63,4,180,6.4,93.49
3.63,4,180,7.92,76.12
3.63,4,180,9.45,64.4
3.63,6,0,2.13,172.02
3.63,6,0,3.35,116.11
3.63,6,0,4.88,98.18
3.63,6,0,6.4,80.81
3.63,6,0,7.92,73.29
3.63,6,0,9.45,58.61
3.63,6,45,2.13,175.95
3.63,6,45,3.35,124.17
3.63,6,45,4.88,89.63
3.63,6,45,6.4,78.26
3.63,6,45,7.92,68.81
3.63,6,45,9.45,52.4
3.63,6,90,2.13,376.66
3.63,6,90,3.35,132.31
3.63,6,90,4.88,75.5
3.63,6,90,6.4,76.88
3.63,6,90,7.92,61.29
3.63,6,90,9.45,45.37
3.63,6,90,2.13,228.01
3.63,6,90,3.35,118.38
3.63,6,90,4.88,95.7
3.63,6,90,6.4,68.33
3.63,6,90,7.92,54.4
3.63,6,90,9.45,38.96
3.63,6,135,2.13,136.72
3.63,6,135,3.35,108.59
3.63,6,135,4.88,91.36
3.63,6,135,6.4,70.95
3.63,6,135,7.92,58.47
3.63,6,135,9.45,46.19
3.63,6,180,2.13,124.38
3.63,6,180,3.35,120.38
3.63,6,180,4.88,112.94
3.63,6,180,6.4,90.05
3.63,6,180,7.92,73.91
3.63,6,180,9.45,50.68
7.26,1,0,3.35,458.98
7.26,1,0,4.88,190.43
7.26,1,0,6.4,149.27
7.26,1,0,7.92,130.93
7.26,1,0,9.45,97.22
7.26,1,90,3.35,166.65
7.26,1,90,4.88,120.45
7.26,1,90,6.4,107.7
7.26,1,90,7.92,95.15
7.26,1,90,9.45,76.12
7.26,1,90,3.35,162.23
7.26,1,90,4.88,127.83
7.26,1,90,6.4,103.63
7.26,1,90,7.92,87.7
7.26,1,90,9.45,66.33
7.26,1,180,3.35,223.25
7.26,1,180,4.88,126.86
7.26,1,180,6.4,122.59
7.26,1,180,7.92,103.7
7.26,1,180,9.45,73.08
7.26,4,0,3.35,172.58
7.26,4,0,4.88,126.59
7.26,4,0,6.4,129.97
7.26,4,0,7.92,107.7
7.26,4,0,9.45,83.7
7.26,4,90,3.35,235.39
7.26,4,90,4.88,123.28
7.26,4,90,6.4,115.69
7.26,4,90,7.92,92.67
7.26,4,90,9.45,70.26
7.26,4,90,3.35,220.15
7.26,4,90,4.88,148.38
7.26,4,90,6.4,116.18
7.26,4,90,7.92,87.84
7.26,4,90,9.45,52.47
7.26,4,180,3.35,174.64
7.26,4,180,4.88,147.41
7.26,4,180,6.4,116.94
7.26,4,180,7.92,102.46
7.26,4,180,9.45,69.71
