W,L/D,theta,R,pso
3.63,4,90,3.35,114.38
3.63,4,90,4.88,93.77
3.63,4,90,6.4,67.02
3.63,4,90,7.92,50.68
3.63,4,90,9.45,44.13
3.63,4,90,2.13,283.1
3.63,4,90,3.35,123.62
3.63,4,90,4.88,87.84
3.63,4,90,6.4,67.43
3.63,4,90,7.92,53.43
3.63,4,90,9.45,47.85
3.63,4,90,2.13,225.46
3.63,4,90,3.35,123
3.63,4,90,4.88,92.11
3.63,4,90,6.4,61.57
3.63,4,90,7.92,53.71
3.63,4,90,9.45,50.4
3.63,4,90,2.13,259.31
3.63,4,90,3.35,123
3.63,4,90,4.88,90.39
3.63,4,90,6.4,66.74
3.63,4,90,7.92,53.02
3.63,4,90,9.45,45.44
3.63,4,90,2.13,255.45
3.63,4,90,3.35,131.83
3.63,4,90,4.88,93.08
3.63,4,90,6.4,70.74
3.63,4,90,7.92,53.5
3.63,4,90,9.45,44.61
3.63,4,112.5,2.13,146.44
3.63,4,112.5,3.35,116.38
3.63,4,112.5,4.88,94.87
3.63,4,112.5,6.4,70.26
3.63,4,112.5,7.92,56.47
3.63,4,112.5,9.45,51.5
3.63,4,112.5,2.13,139.34
3.63,4,112.5,3.35,118.93
3.63,4,112.5,4.88,94.46
3.63,4,112.5,6.4,67.91
3.63,4,112.5,7.92,57.43
3.63,4,112.5,9.45,49.23
3.63,4,112.5,2.13,143.07
3.63,4,112.5,3.35,116.8
3.63,4,112.5,4.88,95.29
3.63,4,112.5,6.4,73.15
3.63,4,112.5,7.92,59.09
3.63,4,112.5,9.45,48.95
3.63,4,135,2.13,142.45
3.63,4,135,3.35,118.8
3.63,4,135,4.88,90.25
3.63,4,135,6.4,71.98
3.63,4,135,7.92,60.67
3.63,4,135,9.45,52.47
3.63,4,135,2.13,136.24
3.63,4,135,3.35,122.73
3.63,4,135,4.88,95.01
3.63,4,135,6.4,61.36
3.63,4,135,7.92,63.71
3.63,4,135,9.45,52.54
3.63,4,157.5,2.13,105.49
3.63,4,157.5,3.35,118.87
3.63,4,157.5,4.88,90.32
3.63,4,157.5,6.4,75.64
3.63,4,157.5,7.92,66.12
