W,L/D,theta,R,iso,pso
3.63,1,90,3.35,128.52,158.23
3.63,1,90,4.88,78.88,59.85
3.63,1,90,6.4,77.15,42.61
3.63,1,90,7.92,54.95,23.92
3.63,1,90,9.45,52.19,20.06
3.63,1,90,2.13,205.26,543.24
3.63,1,90,3.35,118.18,173.33
3.63,1,90,4.88,77.98,59.16
3.63,1,90,6.4,74.95,44.33
3.63,1,90,7.92,56.61,24.61
3.63,1,90,9.45,49.64,18.75
3.63,1,90,2.13,652.93,1589.31
3.63,1,90,3.35,124.24,230.97
3.63,1,90,4.88,85.56,66.47
3.63,1,90,6.4,65.43,36.61
3.63,1,90,7.92,55.23,24.34
3.63,1,90,9.45,52.4,18.13
3.63,1,90,2.13,194.91,547.65
3.63,1,90,3.35,105.28,143.34
3.63,1,90,4.88,86.18,64.95
3.63,1,90,6.4,69.15,38.61
3.63,1,90,7.92,57.71,25.03
3.63,1,90,9.45,46.82,17.44
3.63,1,90,2.13,213.05,618.87
3.63,1,90,3.35,108.04,166.3
3.63,1,90,4.88,85.15,58.12
3.63,1,90,6.4,69.09,41.3
3.63,1,90,7.92,57.02,24.89
3.63,1,90,9.45,50.47,19.79
3.63,1,90,2.13,197.67,523.66
3.63,1,90,3.35,109.08,148.1
3.63,1,90,4.88,86.81,65.09
3.63,1,90,6.4,69.43,34.47
3.63,1,90,7.92,63.43,26.89
3.63,1,90,9.45,50.26,18.41
3.63,1,112.5,2.13,239.87,432.58
3.63,1,112.5,3.35,131,138.24
3.63,1,112.5,4.88,81.63,79.77
3.63,1,112.5,6.4,102.18,56.61
3.63,1,112.5,7.92,59.92,30.13
3.63,1,112.5,9.45,57.98,25.23
3.63,1,112.5,2.13,155.27,445.26
3.63,1,112.5,3.35,124.52,137.41
3.63,1,112.5,4.88,83.63,77.08
3.63,1,112.5,6.4,68.33,53.3
3.63,1,112.5,7.92,59.09,28.48
3.63,1,112.5,9.45,53.3,25.23
3.63,1,112.5,2.13,155.2,340.12
3.63,1,112.5,3.35,119.9,156.17
3.63,1,112.5,4.88,95.7,72.6
3.63,1,112.5,6.4,75.64,50.12
3.63,1,112.5,7.92,60.95,31.1
3.63,1,112.5,9.45,53.23,25.65
3.63,1,135,2.13,152.31,409.27
3.63,1,135,3.35,128.73,164.16
3.63,1,135,4.88,98.46,82.12
3.63,1,135,6.4,76.67,46.95
3.63,1,135,7.92,66.26,33.58
3.63,1,135,9.45,55.78,25.23
3.63,1,135,2.13,190.02,513.45
3.63,1,135,3.35,127.97,189.61
3.63,1,135,4.88,93.49,91.15
3.63,1,135,6.4,80.67,53.64
3.63,1,135,7.92,62.81,31.03
3.63,1,135,9.45,54.81,25.1
3.63,1,135,2.13,163.2,421.41
3.63,1,135,3.35,142.65,182.57
3.63,1,135,4.88,93.29,72.6
3.63,1,135,6.4,76.6,54.26
3.63,1,135,7.92,61.23,32.34
3.63,1,135,9.45,53.5,26.06
3.63,1,157.5,2.13,292.96,573.99
3.63,1,157.5,3.35,136.24,157.27
3.63,1,157.5,4.88,78.81,58.81
3.63,1,157.5,6.4,83.7,32.2
3.63,1,157.5,7.92,60.19,24.61
3.63,1,157.5,9.45,60.12,20.96
3.63,1,157.5,2.13,151.34,818.89
3.63,1,157.5,3.35,107.35,168.23
3.63,1,157.5,4.88,92.53,70.74
3.63,1,157.5,6.4,79.36,37.23
3.63,1,157.5,7.92,64.6,20.75
3.63,1,157.5,9.45,56.05,16.06
3.63,1,157.5,2.13,171.06,342.88
